domain,category,leaf,count
Chemical_Conditions,Reagents_Catalysts,change_of_primary_reagent,688
Chemical_Conditions,Reagents_Catalysts,change_of_oxidant_or_oxidation_protocol,194
Chemical_Conditions,Reagents_Catalysts,change_of_reductant_or_reduction_protocol,150
Chemical_Conditions,Reagents_Catalysts,change_of_catalyst_or_ligand_identity,490
Chemical_Conditions,Reagents_Catalysts,optimization_of_catalyst_loading,205
Chemical_Conditions,Reagents_Catalysts,replacement_of_unstable_or_impure_reagent,125
Chemical_Conditions,Reagents_Catalysts,replacement_of_costly_or_low_purity_reagent,153
Chemical_Conditions,Reagents_Catalysts,reagent_change_to_reduce_waste_or_increase_green_score,70
Chemical_Conditions,Acid_Base_pH,change_of_base,448
Chemical_Conditions,Acid_Base_pH,change_of_acid,193
Chemical_Conditions,Acid_Base_pH,optimization_of_acid_or_base_stoichiometry,146
Chemical_Conditions,Solvent_Phase,solvent_change_for_reactivity,237
Chemical_Conditions,Solvent_Phase,solvent_change_for_solubility,601
Chemical_Conditions,Solvent_Phase,solvent_change_for_safety_or_green_chemistry,262
Chemical_Conditions,Solvent_Phase,solvent_change_to_reduce_side_products,146
Chemical_Conditions,Solvent_Phase,solvent_system_optimization_or_cosolvent_addition,113
Chemical_Conditions,Solvent_Phase,phase_behavior_or_biphasic_system_optimization,150
Chemical_Conditions,Additives,change_of_additive,390
Chemical_Conditions,Stoichiometry_Kinetics,optimization_of_reagent_stoichiometry,405
Chemical_Conditions,Stoichiometry_Kinetics,change_of_addition_order_or_feed_profile,533
Chemical_Conditions,Stoichiometry_Kinetics,temperature_setpoint_or_temperature_ramp_optimization,625
Chemical_Conditions,Stoichiometry_Kinetics,pressure_or_gas_headspace_optimization,92
Chemical_Conditions,Stoichiometry_Kinetics,hold_time_or_residence_time_optimization,179
Chemical_Conditions,ProtectingGroups_Substrate,protecting_group_change_or_removal,182
Workup_and_Purification,Extraction_and_Workup,improved_quench_or_neutralization,163
Workup_and_Purification,Extraction_and_Workup,improved_impurity_purge_or_byproduct_control,367
Workup_and_Purification,Extraction_and_Workup,drying_or_isolation_process_optimization,260
Workup_and_Purification,Crystallization,crystallization_solvent_or_antisolvent_optimization,312
Workup_and_Purification,Crystallization,crystallization_nucleation_or_seed_control,77
Workup_and_Purification,Crystallization,polymorph_or_solid_form_management,109
Workup_and_Purification,Impurity_and_QC,feedstock_or_supplier_variability_management,20
Workup_and_Purification,Impurity_and_QC,tolerance_of_reagent_or_feed_impurities,5
Workup_and_Purification,Impurity_and_QC,improved_in_process_control_or_analytical_method,160
Specialized_Chemistries,Halogenation,optimization_of_halogenation_protocol,1
Specialized_Chemistries,Biocatalysis,biocatalytic_or_enzymatic_route_change_or_optimization,178
Process_Engineering,Reactor_and_Hardware,custom_or_novel_reactor_design,315
Process_Engineering,Reactor_and_Hardware,improved_mixing_or_impeller_design,197
Process_Engineering,Reactor_and_Hardware,improved_heat_transfer_or_temperature_control_hardware,79
Process_Engineering,Reactor_and_Hardware,improved_photochemical_reactor_or_light_delivery,61
Process_Engineering,Reactor_and_Hardware,improved_electrochemical_reactor_or_electrode_system,42
Process_Engineering,Flow_and_Solids,batch_to_flow_or_flow_process_implementation,381
Process_Engineering,Flow_and_Solids,packed_bed_or_fixed_bed_optimization,43
Process_Engineering,Flow_and_Solids,clogging_or_fouling_mitigation,233
Process_Engineering,Flow_and_Solids,slurry_handling_or_particle_size_optimization,87
Process_Engineering,Flow_and_Solids,gas_evolution_or_mass_transfer_management,117
Process_Engineering,Flow_and_Solids,continuous_process_intensification,13
Process_Engineering,Atmosphere_and_Safety,optimization_of_inert_atmosphere_or_deoxygenation,54
Process_Engineering,Atmosphere_and_Safety,optimization_of_oxygen_or_gas_enriched_environment,6
Process_Engineering,Atmosphere_and_Safety,condition_change_to_reduce_or_remove_process_hazard,160
Process_Engineering,Atmosphere_and_Safety,thermal_runaway_mitigation_or_quench_safety_modification,41
Strategy_and_Optimization,Screening_Modeling,process_modeling_or_digital_twin_guided_change,84
Strategy_and_Optimization,Route_Design,step_reordering_or_telescope_strategy,316
Strategy_and_Optimization,Route_Design,entirely_new_route_or_step_replacement,639
Strategy_and_Optimization,Fallback,insufficient_information_to_classify,94
Strategy_and_Optimization,Fallback,other,77
