solution_category,count,percentage,domain
Reagents_Catalysts,2075,18.1,Chemical_Conditions
Stoichiometry_Kinetics,1834,16.0,Chemical_Conditions
Solvent_Phase,1509,13.2,Chemical_Conditions
Route_Design,955,8.3,Strategy_and_Optimization
Flow_and_Solids,874,7.6,Process_Engineering
Extraction_and_Workup,790,6.9,Workup_and_Purification
Acid_Base_pH,787,6.9,Chemical_Conditions
Reactor_and_Hardware,694,6.1,Process_Engineering
Crystallization,498,4.3,Workup_and_Purification
Additives,390,3.4,Chemical_Conditions
Atmosphere_and_Safety,261,2.3,Process_Engineering
Impurity_and_QC,185,1.6,Workup_and_Purification
ProtectingGroups_Substrate,182,1.6,Chemical_Conditions
Biocatalysis,178,1.6,Specialized_Chemistries
Fallback,171,1.5,Strategy_and_Optimization
Screening_Modeling,84,0.7,Strategy_and_Optimization
Halogenation,1,0.0,Specialized_Chemistries
