reaction_class,null,water,tetrahydrofuran,methanol,hydrochloric acid,acetonitrile,toluene,ethanol,dichloromethane,sodium hydroxide,dimethylformamide,nitrogen atmosphere,acetic acid,ethyl acetate,triethylamine,isopropanol,potassium carbonate,hydrogen gas,dimethyl sulfoxide,diisopropylethylamine,palladium catalyst,heptane,sulfuric acid,1
Unrecognized,7226,3456,1488,802,775,1017,730,533,669,609,502,648,422,319,432,275,246,192,343,122,208,232,281,191
Other separation,3912,2388,713,553,485,498,516,471,364,304,251,321,298,268,141,332,114,105,145,75,124,195,191,124
Carboxylic acid + amine condensation,868,361,107,85,237,161,61,82,90,37,244,32,62,111,107,46,18,1,58,216,0,37,17,2
Bromo Suzuki coupling,523,427,155,59,23,36,106,76,26,37,15,82,0,22,21,22,131,0,15,5,155,20,0,118
Amide Schotten-Baumann,542,250,107,67,100,94,61,45,63,58,135,15,32,63,97,23,36,5,6,109,0,31,5,5
SNAr ether synthesis,509,228,108,19,78,51,43,36,16,46,63,29,23,30,38,27,136,2,100,61,2,19,5,1
Esterification,379,119,33,98,39,36,19,65,78,15,34,36,27,31,42,35,4,0,6,41,0,8,65,5
Nitro to amino,296,145,90,70,20,5,11,84,10,10,20,14,43,18,9,5,5,153,20,4,42,5,9,2
Ester hydrolysis,240,264,52,75,92,6,21,21,11,119,9,9,15,13,13,15,1,11,12,0,0,23,2,16
Ring closing olefin metathesis,362,131,54,44,31,50,70,29,14,9,15,45,15,30,12,6,32,1,6,14,14,5,8,29
Alkene hydrogenation,247,64,32,90,0,0,16,61,33,13,0,38,18,11,5,36,7,217,0,0,36,5,0,1
N-Boc deprotection,191,105,32,59,106,25,30,41,37,7,14,3,0,33,5,52,6,3,5,0,0,19,5,19
Ketone to alcohol reduction,239,121,21,41,28,23,12,26,14,24,1,11,10,13,25,75,10,22,14,0,5,0,2,0
Acid to acid chloride,151,122,6,18,60,26,6,37,24,32,4,0,33,20,7,9,2,0,0,4,0,12,30,12
Bromo Buchwald-Hartwig amination,186,40,34,16,14,2,70,3,0,0,15,32,0,7,0,6,34,0,13,5,60,7,0,33
Hydroamination,132,81,31,41,9,0,15,6,7,21,3,21,19,12,29,25,0,66,0,4,20,3,4,2
Bromination,149,69,13,15,4,38,0,0,49,14,11,19,15,10,5,5,13,0,0,9,0,0,2,5
Chlorination,138,73,8,3,6,34,29,2,24,7,48,12,2,5,15,0,5,0,5,7,0,7,9,5
Bromo N-alkylation,132,59,14,7,18,35,16,0,3,10,30,6,9,8,0,6,45,0,5,16,2,1,1,9
Carbamate Schotten-Baumann,115,69,8,18,34,17,10,4,23,22,12,5,4,10,15,8,3,0,0,6,5,19,0,0
Alcohol to aldehyde oxidation,118,72,4,20,5,14,12,18,32,0,0,9,2,12,7,5,0,5,9,4,4,5,8,5
Racemization,109,54,11,21,15,10,8,0,13,27,6,9,5,0,5,2,4,3,4,13,5,6,10,0
Aldehyde reductive amination,103,42,21,20,12,11,5,12,11,11,0,8,26,5,8,0,2,10,18,10,0,4,0,0
Bromo Suzuki-type coupling,88,45,27,8,3,4,8,3,0,10,7,14,0,0,1,4,5,0,0,8,26,0,1,27
